name,description,stars,forks,language,readme,topic,summary
cert-issuer,Issues Blockcerts using the Bitcoin blockchain,0,0,Python,[![Build Status](https://travis-ci.org/blockchain-certificates/cert-issuer.svg?branch=master)](https,blockchain-development,"The repository provides tools for issuing Blockcerts on the Bitcoin blockchain. It enables the creation and anchoring of blockchain-based certificates to ensure their authenticity and tamper-proof nature. The project uses Python and integrates with the Blockcerts ecosystem, offering automation for certificate issuance."
cert-verifier,Python library for verifying Blockcerts,0,0,Python,[![Build Status](https://travis-ci.org/blockchain-certificates/cert-verifier.svg?branch=master)](htt,blockchain-development,"The repository provides a Python library for verifying Blockcerts, which are blockchain-based digital certificates. It includes tools to authenticate and validate certificates issued on blockchain networks. The library is designed for developers looking to integrate certificate verification functionality into their applications."
certificate-schema,No description,1,0,JavaScript,"# MOVED TO https://github.com/OpenCerts/open-certificate

## Schema Version

[v1.0](https://govtechs",archived-project,"The repository has been moved to a new location at [OpenCerts/open-certificate](https://github.com/OpenCerts/open-certificate). It appears to contain information related to schema versions, such as version v1.0, which is linked in the README. No additional details about the content or purpose are provided in the README."
CFT-Docs,Documentation for Cloud File Transfer (CFT),0,1,HTML,"# What is CFT?
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras blandit tristique aucto",cloud-computing,"The GitHub repository provides documentation for Cloud File Transfer (CFT), a system designed to facilitate efficient file transfers in cloud environments. The README introduces CFT but contains placeholder text (""Lorem ipsum"") instead of detailed information. As a result, the repository likely includes additional documentation files explaining CFT's functionality, setup, and usage."
chatbot-notifier,This application allow sending of messages to chat group with token ecryption capabilities,5,1,Go,"# chatbot-notifier

chatbot-notifier is a tool for sending message with telegram bot while securing ",cybersecurity,chatbot-notifier is a tool for sending messages to Telegram chat groups using a bot. It includes token encryption capabilities to enhance security. The application ensures safe communication and easy message delivery via Telegram bots.
commitlint-circle,Lint all relevant commits for a change or PR on Circle CI,0,0,None specified,"> Lint all relevant commits for a change or PR on Circle CI

# commitlint-circle

This package is a ",automation,"commitlint-circle is a tool designed to lint all relevant commits in a change or pull request within the CircleCI environment. It ensures commit messages adhere to defined standards, helping maintain consistency and quality in version control practices."
containerstack-doc-crds,This repository stores containerstack crds which meant to be published in doc portal,0,0,None specified,"# containerstack-doc-crds
",cloud-computing,The repository **containerstack-doc-crds** contains Custom Resource Definitions (CRDs) for ContainerStack. These CRDs are intended to be published in the documentation portal to facilitate their use and understanding. The repository serves as a centralized location for managing and distributing these resources.
crawlee-core,No description,0,0,JavaScript,"<h1 align=""center"">
    <a href=""https://crawlee.dev"">
        <picture>
          <source media=""(p",web scraping,"The repository appears to be related to ""Crawlee,"" a tool or library for web crawling and scraping. However, the README.md content is incomplete, making it difficult to derive detailed information about its functionality or features. For further insights, additional content or context is needed."
crossplane-provider-aws,Crossplane Amazon Web Services (AWS) infrastructure provider.,0,0,Go,"# provider-aws

## Overview

This `provider-aws` repository is the Crossplane infrastructure provide",cloud-computing,The `provider-aws` repository is a Crossplane infrastructure provider for managing Amazon Web Services (AWS) resources. It enables declarative configuration and automation of AWS services using Crossplane's Kubernetes-native approach. The repository includes tools and APIs to integrate AWS infrastructure seamlessly into Kubernetes environments.
csharp-apex-api-security,🔑  C# helper utility that sign HTTP Authorization Scheme for API authentication,4,4,C#,"# APEX API C# Security Utility 
[![Build Status](https://travis-ci.org/GovTechSG/csharp-apex-api-sec",cybersecurity,The GitHub repository provides a C# utility designed to facilitate API authentication by generating signed HTTP Authorization headers. It is particularly useful for securing API interactions using the APEX protocol. The repository includes tools and examples to simplify implementation in .NET applications.
cstack-ecr-repo-list,Quick UI into an AWS ECR repository,1,0,JavaScript,"# Introduction

This application is built on top of [rk295/ecr-repo-list](https://github.com/rk295/e",cloud-computing,The repository provides a streamlined user interface for browsing and managing AWS Elastic Container Registry (ECR) repositories. It is built on top of the `rk295/ecr-repo-list` project and aims to simplify interactions with ECR repositories.
cstack-quota-monitoring,Container Stack monitoring for Cloud Resource quota,0,0,JavaScript,"# cstack-quota-monitoring
Container Stack monitoring for Cloud Resource quota

Description
=========",cloud-computing,"**Summary:**  
The repository ""cstack-quota-monitoring"" provides a solution for monitoring container stack usage and ensuring adherence to cloud resource quotas. It is designed to help track and manage resource consumption in cloud environments, ensuring that allocated quotas are not exceeded. This tool is particularly useful for maintaining efficient resource usage and avoiding overages in containerized cloud deployments."
dependency-check-action,Runs OWASP dependency-check on github repo,1,0,None specified,"# depedency-check-action
Runs OWASP dependency-check on github repo

## Docker Image

Image [public.",cybersecurity,"This GitHub repository provides a GitHub Action to run OWASP Dependency-Check on a repository, enabling developers to identify and address known vulnerabilities in project dependencies. It utilizes a Docker image to execute the scan. The tool is designed to integrate seamlessly into CI/CD pipelines for enhanced security."
dependency-hasher,Source for dependency hasher,0,0,Shell,README not available,algorithmic impact assessment,"This GitHub repository provides the source code for a dependency hasher tool. Since the README is not available, specific details about its usage, features, or implementation are unclear. The repository appears to focus on hashing dependencies, likely for tracking or verification purposes in software development."
developer.gov.sg-natasha-5-12,No description,0,0,HTML,"# developer.gov.sg

[![Known Vulnerabilities](https://snyk.io//test/github/GovTechSG/developer.gov.s",government open-source template,"The GitHub repository appears to be related to ""developer.gov.sg,"" potentially a resource or platform by GovTech Singapore aimed at developers. The README.md includes a badge for tracking vulnerabilities using Snyk, but no detailed information about the repository's purpose or content is provided. It may involve tools, resources, or documentation for developers. Further investigation into additional files or context is needed for a complete understanding."
.github,GitHub community health files for Open Government Products,1,1,None specified,"# .github

This repository contains GitHub [community health files](https://docs.github.com/en/commu",government open-source template,"This repository, maintained by Open Government Products, contains GitHub community health files, such as issue templates, pull request templates, and contribution guidelines, to foster effective collaboration and communication within its projects. These files are designed to standardize processes and improve the overall developer experience."
action-pr-description-add,GitHub Action to change Pull Request descriptions.,0,0,None specified,"<!-- Badges -->
[![Build-Test](https://github.com/bcgov-nr/action-pr-description-add/actions/workflo",automation,"This GitHub repository provides a GitHub Action designed to modify Pull Request descriptions automatically. It allows users to programmatically update or append content to PR descriptions, streamlining workflows and improving consistency in development processes. The Action is customizable and integrates seamlessly into CI/CD pipelines."
activesg-pgbench,No description,0,0,None specified,"# ActiveSG pgbench

## Conclusions

Errors happen when all of the following conditions are met:

- q",benchmark-testing,"The repository ""ActiveSG pgbench"" appears to analyze error conditions during benchmarking, specifically identifying scenarios where errors occur when certain criteria are met. The README is minimal, mentioning that errors arise under unspecified conditions labeled as ""q."" Further details or usage instructions are not provided in the current content."
add-pr-comment,uses: mshick/add-pr-comment@v2,0,0,None specified,"# add-pr-comment

<!-- ALL-CONTRIBUTORS-BADGE:START - Do not remove or modify this section -->

[![A",automation,The `add-pr-comment` GitHub Action allows users to automatically add comments to pull requests in their repositories. It is designed to streamline communication and automate workflows by posting customizable comments based on specific triggers or events. The action is highly configurable and integrates seamlessly into CI/CD pipelines to enhance collaboration during development.
armoury-docs,No description,0,0,None specified,README not available,algorithmic impact assessment,"The repository lacks a description and does not contain a README file, making it impossible to determine its purpose or contents."
askgov2,No description,0,1,TypeScript,"# AskGov2

Answers from the Singapore Government (v2)

## Tools 

* Needed to run in development:
  ",government open-source template,"AskGov2 is a platform providing answers from the Singapore Government. It includes tools necessary for development, but the README.md lacks detailed instructions or features. The repository appears to be a version 2 iteration aimed at enhancing government communication and accessibility."
askgovsg,Answers from the Singapore Government,17,6,TypeScript,"# AskGov
Answers from the Singapore Government 

## Tech Stack

#### Front-end

- Front-end Framewor",government open-source template,"AskGov is a platform that provides answers and information from the Singapore Government. It leverages a front-end framework for its technical implementation, though specific details about its functionality or additional components are not fully provided in the README. The repository aims to improve accessibility to government-related answers for the public."
askgovsg-demo,No description,0,0,Pug,README not available,algorithmic impact assessment,"This GitHub repository lacks both a description and a README file, making it impossible to determine its purpose or content."
aws-ssm-getparameters-action,"A GitHub action centered on AWS Systems Manager Parameter Store GetParameters call, and placing the results into environment variables",0,0,TypeScript,"# AWS SSM Parameter Store GetParameters Action

A GitHub action centered on AWS Systems Manager Para",cloud-computing,This GitHub repository provides a GitHub Action that integrates with AWS Systems Manager Parameter Store. It retrieves parameters using the `GetParameters` API call and stores the results as environment variables for use in workflows. This simplifies the secure management and access of configuration data within CI/CD pipelines.
beanstalk-deploy,GitHub action (and command line script) to deploy apps to Elastic Beanstalk,0,0,JavaScript,"# Beanstalk Deploy

Beanstalk Deploy is a GitHub action (and command line script) to deploy apps to ",cloud-computing,"Beanstalk Deploy is a GitHub Action and command-line tool designed to streamline the deployment of applications to AWS Elastic Beanstalk. It enables automated, efficient app deployment directly from your CI/CD workflow or terminal. The tool simplifies the process, making it accessible for developers integrating Elastic Beanstalk into their deployment pipelines."
beeline-eol-build,The final build of the Beeline app,0,0,CSS,README not available,algorithmic impact assessment,"The GitHub repository contains the final build of the Beeline app, but no README.md file is provided to elaborate on its features, functionality, or usage."
blueprint-jekyll-theme,Staging: https://stupefied-curie-98b835.netlify.com/; Production: https://opengovsg.github.io/blueprint-jekyll-theme/,0,0,CSS,"# blueprint-jekyll-theme

## Usage

The blueprint-jekyll-theme repo offers a remote_theme option for",web development,The `blueprint-jekyll-theme` repository provides a Jekyll theme designed for easy integration using the `remote_theme` option. It includes staging and production environments accessible via provided URLs for testing and deployment. The theme is tailored for use by OpenGovSG and supports streamlined customization for web projects.
camp-design-system,The Design System used at Open Government Products,42,11,TypeScript,"# Open Government Products Design System

Exports components which follow the design and accessibili",government open-source template,"The Open Government Products Design System repository provides reusable components designed to ensure consistency and accessibility in digital products. It serves as a foundation for the design system used at Open Government Products, adhering to accessibility standards and best practices."
carparks-near-me,No description,2,0,JavaScript,"# nearestCarparkInfo API
This repository is the API used for the [Understanding Web Development Cour",web development,"The `nearestCarparkInfo API` repository provides an API designed for the ""Understanding Web Development"" course. It likely allows users to retrieve information about nearby carparks, serving as an educational tool to demonstrate web development concepts. The repository lacks additional details or a complete README.md."
cbdc-smart-contracts,Smart contracts for the CBDC collaboration,11,2,TypeScript,"<h1 align=""center"">
  <br>
  <a href=""https://github.com/opengovsg/cbdc-smart-contracts/wiki"" width=",blockchain-development,"This GitHub repository contains smart contracts designed for Central Bank Digital Currency (CBDC) collaboration. It provides a framework and implementation details for various functions related to CBDCs, supporting interoperability and efficiency in digital currency transactions. The repository includes documentation and resources to guide developers in utilizing and expanding the smart contract functionalities."
changesets-action,fork of https://github.com/changesets/action for internal use,0,0,TypeScript,"# Changesets Release Action

This action for [Changesets](https://github.com/changesets/changesets) ",automation,"This repository is a fork of the [Changesets Action](https://github.com/changesets/action) tailored for internal use. It provides a GitHub Action to automate the release process using Changesets, a tool for managing versioning and changelogs in JavaScript projects. The action streamlines publishing workflows based on Changesets' configurations."
checkfirst,Don't Know? CheckFirst. A tool to build eligibility checkers and calculators for Singapore Government policies,14,6,TypeScript,"# CheckFirst

Don't Know? CheckFirst. A tool to build eligibility checkers and calculators for Singa",government open-source template,CheckFirst is a tool designed to create eligibility checkers and calculators for Singapore Government policies. It simplifies the process of determining eligibility for various policies by providing a user-friendly platform for building these tools.
CheckGoGovSG,Verify phone calls from public officers using GoGovSG,0,0,TypeScript,"# Remix

This directory is a brief example of a [Remix](https://remix.run/docs) site that can be dep",cybersecurity,"This GitHub repository is designed to verify phone calls from public officers using GoGovSG. It includes a sample implementation of a site built with Remix, a web framework for building modern web applications. The repository provides tools and code to ensure secure and reliable identification of government officials during phone calls."
CheckWho,Enable Singapore residents to easily and authoritatively verify public officers,0,0,TypeScript,"# CheckWho

## Getting started with your dev environment

### Initialization

- Make a copy of `/bac",government identity verification,"CheckWho is a GitHub repository designed to help Singapore residents easily and authoritatively verify the identity of public officers. The project provides instructions for setting up a development environment, including initialization steps. While the README.md appears truncated, the repository likely includes tools or methods for identity verification based on its stated purpose."
checkwho-infra,No description,0,0,TypeScript,"# CheckWho Infra Repo

## Setup

If you are here after running [create-ogp-app](https://github.com/o",cloud-computing,"The ""CheckWho Infra Repo"" appears to be a repository related to infrastructure setup for the CheckWho project. It references a tool or script named ""create-ogp-app"" from another GitHub repository, suggesting its role in initializing or managing aspects of the project's infrastructure. The README.md provides minimal information, focusing on setup instructions without elaborating on the repository's purpose or functionality."
codeql-config,No description,0,1,None specified,README not available,algorithmic impact assessment,"This GitHub repository lacks a description and does not include a README.md file, making it impossible to determine its purpose or content."
ColouriseSG,A deep learning colouriser prototype specifically for old Singaporean photos.,26,1,None specified,"# ColouriseSG
A deep learning colouriser prototype specifically for old Singaporean photos.
",historical-news-archiving,ColouriseSG is a deep learning-based tool designed to colorize old Singaporean photos. It serves as a prototype aimed at enhancing and restoring historical images by adding realistic colors.
countries-regions-codes,Utility for converting between nationality codes,7,0,TypeScript,"# Convert country/region codes

![Coverage Status](https://coveralls.io/repos/github/opengovsg/count",data-conversion-tool,The repository provides a utility for converting between nationality or country/region codes. It includes tools to handle various code formats and ensures seamless interoperability across systems. The README highlights its functionality but is incomplete due to truncated content.
credits-generator,Attributes the authors of your first-level package.json dependencies,17,6,JavaScript,"# credits-generator

Takes in package.json and outputs a CREDITS.md file attributing the authors of ",automation,"The ""credits-generator"" GitHub repository is a tool that generates a CREDITS.md file based on the authors listed in the first-level dependencies of a package.json file. It automates the process of attributing credit to the contributors of the dependencies used in a project."
ctrl-shift,Web application for solving Employee Rostering using OptaPlanner,4,0,TypeScript,":projectKey: optaweb-employee-rostering
:sonarBadge: image:https://sonarcloud.io/api/project_badges/",automation,"The GitHub repository provides a web application for solving employee rostering challenges using OptaPlanner, a constraint-solving AI tool. It features tools for scheduling and assigning shifts efficiently while considering complex business constraints. The project is designed for deployment in workplaces to optimize workforce management and improve operational efficiency."
deploy,Opinionated convenience wrapper action for applications to deploy to AWS ECS or Fly.io,0,0,None specified,"# Deploy

An opinionated convenience wrapper action for applications to deploy to AWS ECS or Fly.io
",automation,"This GitHub repository provides an opinionated convenience wrapper action designed to simplify the deployment of applications to AWS ECS or Fly.io. It streamlines the deployment process, offering a user-friendly and efficient approach for developers targeting these platforms."
deploy-to-vercel-action,Fork to resolve null author.login,0,0,JavaScript,"<div align=""center"">

# Deploy to Vercel Action

[![Node CI](https://github.com/BetaHuhn/deploy-to-v",automation,"The repository is a fork of the ""Deploy to Vercel Action"" GitHub Action, aimed at resolving issues with `null author.login`. It enables automated deployment of projects to Vercel via GitHub Actions. The project includes a Node.js CI badge and is designed for seamless integration and deployment workflows."
design-tokens,No description,0,0,None specified,"# Design Tokens
",design-tokens,"The repository focuses on ""Design Tokens,"" which are standardized, reusable elements used to maintain consistency in design systems across projects. It likely includes resources, documentation, or tools for managing and implementing design tokens, such as colors, typography, spacing, and other design properties. The README.md provides an overview or serves as the starting point for exploring these design-related assets."
digital-commons-docs,No description,0,0,None specified,"---
description: Deploying OGP Products on Virtual Private Servers (VPS)
---

# VPS Deployment Guide",semantic-web-development,This repository provides a guide for deploying OGP (Open Game Panel) products on Virtual Private Servers (VPS). It includes step-by-step instructions to set up and configure OGP tools effectively in a VPS environment. The documentation aims to streamline the deployment process for managing game servers using OGP.
discoversg,No description,0,1,CSS,"## Overview

This project repo has two parts, the main folder with a
[Create React App](https://gith",web development,"This repository contains a project with two main parts: a folder built using Create React App and another component or subfolder not fully detailed in the README.md. It appears to be a React-based application setup, but additional details about functionality or purpose are not provided."
.github,Alphagov organisation health files,6,19,None specified,"# .github

Alphagov organisation health files
",government open-source template,This repository contains organizational health files for the Alphagov GitHub organization. It includes standard templates and documentation aimed at maintaining consistency and best practices across projects within the organization.
a11y,A collection of accessibility resources for developers building GOV.UK,5,4,None specified,"a11y
====

A collection of accessibility resources for developers building GOV.UK

What follows is a",accessibility-development,"This GitHub repository, titled ""a11y,"" offers a collection of accessibility resources tailored for developers working on GOV.UK projects. It aims to support the creation of accessible digital services by providing guidelines, tools, and best practices. The repository serves as a centralized resource for fostering inclusivity and compliance with accessibility standards."
a11y-dev-workshop,No description,6,2,HTML,"# a11y-dev-workshop

* [Preparation notes](preparation.md)
* [Exercise 1](exercise1.md)
* [Exercise ",accessibility-development,"The repository ""a11y-dev-workshop"" appears to be a resource for a workshop focused on web accessibility (a11y) development. It includes preparation notes and exercises to guide participants through practical learning. The content is structured to help developers improve their accessibility skills."
accessibility,A repo to organize the guidelines and best practices for accessibility at 18f.,0,2,Ruby,"# Accessibility
This repo will contain the guidelines and best practices for 508 accessibility at 18",accessibility-development,This GitHub repository serves as a central resource for organizing guidelines and best practices related to Section 508 accessibility compliance at 18F. It aims to provide clear instructions and standards to ensure accessibility in digital products and services.
accessibility-community-notes-and-discussion,Draft accessibility guidance,21,5,None specified,"The  documents and wiki notes are available for discussion but do not constitute offical guidance
",accessibility-development,"This GitHub repository contains draft accessibility guidance, including documents and wiki notes intended for discussion. The materials provided are not official guidance and are subject to further development and refinement through collaborative input."
accessibility-guidance,No description,2,2,Ruby,"# Accessibility Guidance

This is draft accessibility guidance for the new accessibility regulations",accessibility-development,This repository contains draft accessibility guidance tailored to the new accessibility regulations. It serves as a resource for understanding and implementing accessibility standards in compliance with updated rules.
accessibility-issues,Collecting accessibility issues we find,2,4,HTML,"# Accessibility issues

This tool is for collecting accessibility issues we find. This is to
* gathe",accessibility-development,This GitHub repository serves as a tool for collecting and documenting accessibility issues encountered. Its purpose is to gather and organize these issues to improve accessibility practices. The repository aims to support efforts in identifying and resolving barriers for individuals with disabilities.
accessibility-monitoring,Tool(s) for sampling/monitoring/testing accessibility of public sector websites ,3,2,PHP,"# Accessibility Monitoring

Tool(s) for sampling/monitoring/testing accessibility of public sector w",accessibility-development,"This GitHub repository provides tools for sampling, monitoring, and testing the accessibility of public sector websites. It aims to ensure compliance with accessibility standards and improve usability for individuals with disabilities. The tools facilitate auditing and tracking accessibility issues systematically."
accessibility-monitoring-platform,GDS internal system for managing the accessibility testing of public sector websites.,2,0,Python,"# GDS Accessibility Monitoring Platform

The accessibility monitoring platform is to support the acc",accessibility-development,"The ""GDS Accessibility Monitoring Platform"" is an internal system designed to assist in managing and monitoring the accessibility testing of public sector websites. It aims to ensure compliance with accessibility standards and enhance the user experience for individuals with disabilities. The platform provides tools and workflows to facilitate efficient accessibility assessments and reporting."
accessibility-personas,Experience the web as personas with access needs,26,6,JavaScript,"# Accessibility Personas

These pages include:

* Documentation how to set up devices or browsers wi",accessibility-development,"The ""Accessibility Personas"" GitHub repository provides documentation on how to configure devices or browsers to simulate the web experience of users with accessibility needs. It aims to help developers and designers understand and address barriers faced by individuals with diverse access requirements. This tool enhances empathy and encourages the creation of more inclusive digital experiences."
accessibility-self-evaluation,Helps users evaluate the accessibility of their website,1,3,HTML,"# Technical Documentation

This project uses the [Tech Docs Template][template], which is a [Middlem",accessibility-development,"The GitHub repository provides tools for evaluating the accessibility of websites. It utilizes the ""Tech Docs Template"" built on Middleman, a static site generator. The project aims to assist users in identifying and improving accessibility issues on their web platforms."
accessibility-tool-audit,Automated accessibility tools audit,84,31,HTML,"# Accessibility tool audit

Automated accessibility checkers can be used to help identify accessibil",accessibility-development,This GitHub repository focuses on auditing automated accessibility tools. It aims to evaluate the effectiveness of these tools in identifying accessibility issues. The project provides a systematic approach to ensure digital content meets accessibility standards.
accessible-autocomplete,"An autocomplete component, built to be accessible.",945,148,JavaScript,"# Accessible autocomplete

The accessible autocomplete is a component that helps users choose answer",accessibility-development,"The repository provides an accessible autocomplete component designed to assist users in selecting answers. The focus is on ensuring usability and accessibility for diverse users, adhering to best practices for inclusive design. It is suitable for integration into projects requiring efficient and user-friendly input functionality."
accessible-autocomplete-multiselect,"An autocomplete multi-select component, built to be accessible.",17,2,JavaScript,"# Accessible autocomplete multi select (DEPRECATED)

> **NOTE**: This project is deprecated and is [",archived-project,"This GitHub repository provides a deprecated autocomplete multi-select component designed with accessibility in mind. The project is no longer maintained, as indicated in the README.md. Users are advised to seek alternative solutions for similar functionality."
Accessible-Media-Player,Accessible Media Player by Nomensa,7,7,JavaScript,"# [Nomensa](http://www.nomensa.com/) - Accessible Media Player

## About

The Nomensa accessible med",accessibility-development,"The Nomensa Accessible Media Player is designed to provide an inclusive and user-friendly multimedia experience. Developed by Nomensa, it focuses on accessibility, ensuring that individuals with disabilities can effectively interact with media content. The repository likely includes tools, features, or guidelines to support accessibility standards in media player functionality."
account-api,An account for GOV.UK,6,3,Ruby,"# Account API

Provides sign in / sign out and attribute storage functionality to
other GOV.UK appli",government identity verification,"The GitHub repository ""Account API"" offers functionality for managing user accounts on GOV.UK. It provides APIs for sign-in, sign-out, and attribute storage, enabling integration with other GOV.UK applications. The repository focuses on facilitating seamless user authentication and data management."
ai-publishing-feedback-experimentation-2024,Experimentation work started in Feb 2024 on how AI could help in understanding user feedback in GOV.UK Publishing,3,0,Python,"# AI Publishing Feedback Experimentation

**Archived** - Repository of experimentation that may get ",archived-project,"This repository contains experimentation work, initiated in February 2024, exploring how AI could assist in analyzing user feedback for GOV.UK Publishing. The project has been archived and may not receive further updates. It served as a foundational experiment for understanding the potential of AI in improving user feedback comprehension in governmental publishing contexts."
ai-ruby-test-app-2023,Some AI stuff written in Ruby to try and understand how this stuff hangs together,0,0,HTML,"# AI for Ruby Devs

**Archived** Experimentation project from the AI team in 2023.

## Getting start",archived-project,"This repository, *AI for Ruby Devs*, is an archived experimental project from 2023 aimed at exploring AI concepts using Ruby. It was created to help understand and experiment with AI systems and their integration. The project is no longer actively maintained."
alphagov.github.io,GitHub organisation site for GDS. Also an Apache Maven repository.,23,5,HTML,"# GitHub organisation site for GDS

This is the GitHub organisation site for GDS.

[View this site o",government open-source template,This repository serves as the GitHub organization site for GDS and functions as an Apache Maven repository. It provides access to resources and tools related to GDS. Users can view the organization's site through the provided link.
analytics-settings-database,Export Google Analytics (GA4 and UA) settings ,1,0,Python,"## Google Analytics Settings Database

This is not an officially supported Google product.

This rep",data-conversion-tool,This repository provides tools to export Google Analytics settings for both GA4 and Universal Analytics (UA). It is not an officially supported Google product and appears to assist users in managing and accessing their Google Analytics configuration data.
ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications — automate in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com/ansible/",0,2,Python,"|PyPI version| |Docs badge| |Build Status|

*******
Ansible
*******

Ansible is a radically simple I",automation,"Ansible is an IT automation platform that simplifies application and system deployment using SSH without requiring agents on remote systems. It enables automation through a language that closely resembles plain English, eliminating the need for scripts or custom code. The platform is designed to streamline the management and updating of applications and systems. Comprehensive documentation is available at [ansible.com](https://docs.ansible.com/ansible/)."
anthology,The GDS Library web app.,9,7,Ruby,"# Anthology

An easier way to keep track of the books on your office bookshelf.

* Uses Google authe",web development,Anthology is a web app designed to help users manage and track books on their office bookshelf more easily. It integrates Google authentication for user access and provides a streamlined experience for organizing book collections.
api-explorer,An API explorer to help people get to grips with the GOV.UK APIs,3,5,JavaScript,"## GOV.UK Api Explorer

The code behind http://govuk-api.heroku.com

This is a simple rack and javas",government open-source template,The GOV.UK API Explorer is a tool designed to help users understand and interact with GOV.UK APIs. It is hosted at http://govuk-api.heroku.com and built using Rack and JavaScript technologies. The repository contains the codebase for this API exploration tool.
api-standards,No description,1,2,None specified,"# White House Web API Standards

* [Guidelines](#guidelines)
* [Pragmatic REST](#pragmatic-rest)
* [",government open-source template,"The repository outlines the White House Web API Standards, focusing on best practices for API development. It includes guidelines and principles for implementing pragmatic RESTful APIs. Key topics covered aim to ensure consistency, maintainability, and usability in API design."
app-performance-summary,Extract and summarise performance data for the GOV.UK applications,1,2,Python,"# GOV.UK App performance summary

Extracts error rate information from graphite.

## Nomenclature

-",application-performance-monitoring,"The repository ""GOV.UK App performance summary"" extracts error rate data from Graphite to analyze and summarize the performance of GOV.UK applications. It focuses on identifying and presenting key metrics related to application errors. The project appears to be aimed at improving monitoring and diagnostics for GOV.UK systems."
apprentice-news,A Hacker News clone for apprentices,0,4,Ruby,# Apprentice News [![Build Status](https://travis-ci.org/alphagov/apprentice-news.svg?branch=master),web development,"Apprentice News is a Hacker News-inspired platform designed for apprentices to share and discuss content. The repository includes code for building the application, with features such as user submission, voting, and commenting. It is actively maintained and integrates with Travis CI for continuous integration. This project serves as a learning tool for apprentices to understand web application development."
apprentice_quiz_app,No description,0,0,Ruby,"# Quiz Application in Rails

This is a basic Rails-based quiz application that allows users to creat",web development,"This repository contains a basic quiz application built using Ruby on Rails. The application enables users to create, manage, and take quizzes. It provides essential functionality for quiz management within a Rails-based framework."
aquae-java,Aquae is a protocol for personal data exchange (PDE) in Government. This is an implementation along with a collection of tools and fixings.,0,2,Java,README not available,algorithmic impact assessment,Aquae is a protocol designed for personal data exchange (PDE) within governmental systems. It includes an implementation of the protocol along with various tools and fixes to support its functionality. The repository aims to facilitate secure and efficient data sharing in government processes.
aquae-match,Aquae is a protocol for personal data exchange (PDE) in Government. This is a Ruby prototype for matching identities,0,2,Ruby,"# aquae-match
Aquae is a protocol for personal data exchange (PDE) in Government. This is a Ruby pro",government identity verification,Aquae is a Ruby-based prototype implementing a protocol for personal data exchange (PDE) in government systems. It focuses on identity matching to facilitate secure and efficient data sharing.
aquae-ruby,"A Ruby implementation of Aquae, a protocol for personal data exchange in Government.",0,2,Ruby,"# Aquae

This gem is a low-level library for interacting with an AQuAE (Attributes, Questions, Answe",government identity verification,"Aquae is a Ruby gem that provides a low-level library for interacting with AQuAE, a protocol designed for secure personal data exchange in government systems. It facilitates the exchange of attributes, questions, and answers, enabling efficient communication and data handling. The repository is intended for developers implementing AQuAE protocol-based solutions in Ruby."
.github,No description,0,0,None specified,README not available,algorithmic impact assessment,"The GitHub repository lacks both a description and a README file, making it impossible to determine its purpose, contents, or functionality."
ai-gov-uk-cms,Content Management System for ai.gov.uk website,0,0,Nunjucks,"# ai-gov-uk-cms
Content Management System for ai.gov.uk website

Documentation for Decap CMS can be ",government open-source template,"The repository, **ai-gov-uk-cms**, contains the Content Management System (CMS) for the ai.gov.uk website. It is designed to manage and publish content efficiently, leveraging Decap CMS for implementation. The README provides minimal documentation, directing users to external resources for Decap CMS documentation."
ai-gov-uk-website,No description,3,0,Nunjucks,"# AI.gov.uk site

This is our repository for our [public website](https://ai.gov.uk/). The intent of",government open-source template,The repository hosts the source code for the public website [AI.gov.uk](https://ai.gov.uk/). It serves as the central platform for sharing information related to AI initiatives in the UK. The README provides minimal context about the repository's purpose but indicates its role in maintaining the website content.
approval-form,No description,0,0,Python,"To run this project:

    docker-compose up --build --force-recreate web
",automation,"The repository contains a project that can be run using Docker. The command provided in the README.md (`docker-compose up --build --force-recreate web`) sets up and starts the project by building and recreating necessary Docker containers. No additional details, descriptions, or context about the project's purpose or functionality are provided."
ask-ai-archive,Ask AI archive,0,1,Python,"# Ask AI

**This repo is an archive - the project is no longer being maintained.**

This is a Django",archived-project,"The ""Ask AI"" repository is an archived Django-based project that is no longer being maintained. It likely served as an AI-related application or tool but is no longer active or updated."
automatilib,No description,0,0,Python,"# i.AI Shared Code

`automatilib` is a django package used and developed by the i.AI team within the",automation,"The repository contains `automatilib`, a Django package developed by the i.AI team. It appears to be shared code, likely intended for internal use or collaboration within the team. The README provides minimal details about its functionality or purpose."
awesome-gov-datasets,A curated set of references to useful UK Government datasets ,108,6,Python,"# Awesome UK Government Datasets

[![Awesome](https://cdn.rawgit.com/sindresorhus/awesome/d7305f38d2",government datasets,"The repository, ""Awesome UK Government Datasets,"" provides a curated list of references to valuable datasets published by the UK Government. It aims to centralize and organize links to publicly accessible data for easier discovery and use. The repository is part of the ""Awesome"" list format, emphasizing high-quality resources."
